ID,Form_ID,Cognateset_ID
2293-1,2293,43-b
2261-1,2261,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2279-1,2279,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
2293-1,2293,43-b
3484-1,3484,NA
3484-1,3484,NA
2296-1,2296,47-a
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2307-1,2307,47-b
2306-1,2306,47-b
2307-1,2307,47-b
2308-1,2308,47-b
2309-1,2309,47-c
2310-1,2310,47-d
2311-1,2311,47-e
2312-1,2312,47-f
2313-1,2313,47-g
2314-1,2314,47-g
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
3541-1,3541,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2966-1,2966,47-h
3436-1,3436,47-h
3541-1,3541,47-h
2966-1,2966,47-h
2335-1,2335,47-h
2966-1,2966,47-h
2966-1,2966,47-h
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
2958-1,2958,47-i
